"","lat","long","sand","clay","coarse","pH_in_H2O","LU","NPP","OC09","OC15","OC18","SOC09","uSOC09","SOC15","uSOC15","SOC18","uSOC18"
"7003","41.82463","0.12285","44","17","37","7.97","CR","6.5205","12.9","21.1","14.2","2.79643866395199","0.279643866395199","4.28134845866836","0.428134845866836","3.04449563638733","0.428134845866836"
"7004","41.6098","0.15758","9","35","4","8.09","CR","3.2795","3.9","13.4","5.7","1.16038914282805","0.116038914282805","3.54493455998792","0.354493455998792","1.65646705256755","0.354493455998792"
"7005","41.57398","0.16333","29","31","24","8.12","CR","3.0145","16.3","7.3","11.6","3.76431467840646","0.376431467840646","1.84580536105256","0.184580536105256","2.80460409367243","0.184580536105256"
"7006","41.96544","0.0756","64","10","34","7.67","CR","5.883","14.5","14.7","14","3.25695138593056","0.325695138593056","3.2963663643154","0.32963663643154","3.15786567259942","0.32963663643154"
"7007","41.51794","0.14824","22","2","7","7.89","CR","2.901","10.2","13.9","11.5","2.85258078866068","0.285258078866068","3.73089557282759","0.373089557282759","3.16918322797866","0.373089557282759"
"7008","41.92726","0.0576","37","22","10","7.91","CR","5.479","7.8","15.1","12.7","2.20110741306508","0.220110741306508","3.93233231855267","0.393233231855267","3.39236641764737","0.393233231855267"
"7009","41.76621","0.08393","27","19","4","8.02","CR","4.411","11","20.5","11.9","3.08096444365513","0.308096444365513","5.18613555057577","0.518613555057577","3.29874396184696","0.518613555057577"
"7010","42.05013","0.01307","9","33","7","7.8","CR","4.3655","11","16.1","17.4","2.94640204202079","0.294640204202079","4.07189739221136","0.407189739221136","4.33997430384079","0.407189739221136"
"7011","41.51321","0.10082","29","25","26","8.09","CR","3.069","30","30.2","20.1","6.11696540600998","0.611696540600998","6.14877108614213","0.614877108614213","4.43553567239042","0.614877108614213"
"7012","41.2446","0.14389","17","29","5","8.23","CR","3.387","16.1","34","62.4","4.1633648878653","0.41633648878653","7.45129407415476","0.745129407415476","11.5851079114503","0.745129407415476"
"7013","42.01197","-0.00492","19","27","6","7.72","CR","4.535","14.4","17.3","13.6","3.78583013860162","0.378583013860162","4.40884727712866","0.440884727712866","3.60729610682377","0.440884727712866"
"7014","41.65406","0.05384","18","26","23","8.28","CR","2.748","16.7","22.9","30.2","3.84487535985147","0.384487535985147","4.98471732344471","0.498471732344471","6.1978840154202","0.498471732344471"
"7015","41.09895","0.14313","38","20","2","7.8","CR","3.332","20.1","27.1","19.6","5.2145730409509","0.52145730409509","6.58664521486816","0.658664521486816","5.1102723497384","0.658664521486816"
"7016","41.83066","0.00074","22","26","5","8.36","E30","3.7265","16.6","16","15","4.30156803509439","0.430156803509439","4.17271657718924","0.417271657718924","3.95444992557611","0.417271657718924"
"7017","42.09663","-0.06765","63","10","11","8.45","CR","4.7995","6.4","20.7","18.2","1.87813703822229","0.187813703822229","5.25021148839017","0.525021148839017","4.72376784704223","0.525021148839017"
"7018","41.89983","-0.03491","24","20","4","8.3","CR","4.504","11.5","14","10.4","3.19094073611474","0.319094073611474","3.7764329561921","0.37764329561921","2.92287080033563","0.37764329561921"
"7019","41.21961","0.07596","44","22","7","8.56","CR","3.207","15.7","27.8","23.8","4.16436389538421","0.416436389538421","6.5852133646624","0.65852133646624","5.8367109835804","0.65852133646624"
"7020","40.96883","0.11597","30","22","13","7.93","CR","4.647","20.2","19.8","18.8","4.87795105517388","0.487795105517388","4.79947731529125","0.479947731529125","4.60089928764205","0.479947731529125"
"7021","41.7543","-0.03512","14","22","2","8.32","CR","3.9605","8.2","5.5","5.2","2.36772024527228","0.236772024527228","1.64338859109066","0.164338859109066","1.55980175896724","0.164338859109066"
"7022","41.73399","-0.05595","53","15","15","8.42","CR","5.767","5.2","1.6","9.6","1.486254965901","0.1486254965901","0.477004462252721","0.0477004462252721","2.61346010581188","0.0477004462252721"
"7023","41.57292","-0.02946","11","33","6","8.63","CR","3.3175","13.7","22.3","13.9","3.58499825736659","0.358499825736659","5.33152764040676","0.533152764040676","3.62916031148534","0.533152764040676"
"7024","41.41182","-0.00315","16","3","15","7.6","CR","3.4965","10","13.2","24","2.64491137611601","0.264491137611601","3.37376449375781","0.337376449375781","5.53185987855693","0.337376449375781"
"7025","42.07148","-0.13642","35","22","5","7.99","CR","3.856","6.7","12.9","9.9","1.9740630560272","0.19740630560272","3.53569612344941","0.353569612344941","2.80759235171643","0.353569612344941"
"7026","41.87471","-0.10349","24","19","5","8.07","E30","5.828","11.3","27.2","11.6","3.12691737765715","0.312691737765715","6.4123064466278","0.64123064466278","3.19891382162172","0.64123064466278"
"7027","41.80317","-0.09161","45","24","11","7.79","CR","7.0505","10.7","17.9","19.1","2.92003890650787","0.292003890650787","4.53336334533563","0.453336334533563","4.78146889393076","0.453336334533563"
"7028","42.0512","-0.15735","47","11","12","8.06","CR","4.1485","12.4","8","9.6","3.33572337269072","0.333572337269072","2.2574827526317","0.22574827526317","2.66128157115038","0.22574827526317"
"7029","40.97732","0.01903","40","20","5","8.28","CR","3.544","16.6","15.5","18.8","4.40076318716452","0.440076318716452","4.15670546105025","0.415670546105025","4.87372172042062","0.415670546105025"
"7030","42.12029","-0.19333","31","16","7","8.32","CR","4.929","8.8","9.1","9.4","2.49833698094318","0.249833698094318","2.57447940309327","0.257447940309327","2.65010184680028","0.257447940309327"
"7031","42.06663","-0.18425","64","11","11","8.1","CR","4.3185","3.1","16","12.5","0.94568254429384","0.094568254429384","4.24250226332798","0.424250226332798","3.43340550216355","0.424250226332798"
"7032","41.90565","-0.15719","53","17","3","7.7","CR","5.8885","15.1","9.9","15.7","4.17448160708302","0.417448160708302","2.89888116576867","0.289888116576867","4.31302265792547","0.289888116576867"
"7033","41.83412","-0.14522","58","12","5","7.86","CR","5.6705","13.6","13.6","16.5","3.80860548141407","0.380860548141407","3.80860548141407","0.380860548141407","4.48369992986012","0.380860548141407"
"7034","41.47815","-0.08562","14","38","17","7.92","CR","6.3365","20","21.6","21.9","4.5903011363734","0.45903011363734","4.88345873392248","0.488345873392248","4.93755123359547","0.488345873392248"
"7035","42.09997","-0.21425","24","20","8","7.91","CR","4.571","7.9","14.4","12.6","2.23241295141457","0.223241295141457","3.78046774128728","0.378046774128728","3.37350273844431","0.378046774128728"
"7036","41.93899","-0.18708","25","28","11","8.2","CR","5.4325","6.7","5.6","10.8","1.87546115844841","0.187546115844841","1.58842898517915","0.158842898517915","2.88292592899163","0.158842898517915"
"7037","41.86745","-0.17503","59","14","4","7.56","CR","4.54","8.8","17","10.9","2.61374535626896","0.261374535626896","4.6200690403406","0.46200690403406","3.16098961035296","0.46200690403406"
"7038","41.45592","-0.10667","6","37","7","8.19","CR","2.623","14.4","11.9","11.5","3.68808826348352","0.368808826348352","3.13589531300378","0.313589531300378","3.04465270269667","0.313589531300378"
"7039","41.33062","-0.08612","30","24","12","8.01","CR","2.4235","16","21.5","23","4.04485730124543","0.404485730124543","5.15190187812246","0.515190187812246","5.43610635235895","0.515190187812246"
"7040","41.29482","-0.08022","30","23","4","8.19","CR","3.1885","13.4","27.7","23.8","3.65252281475929","0.365252281475929","6.55669941329483","0.655669941329483","5.83405878783352","0.655669941329483"
"7041","41.1695","-0.05983","37","20","11","8.33","CR","2.3685","14.5","22.4","19.1","3.78173071859812","0.378173071859812","5.40964996577331","0.540964996577331","4.75730384855701","0.540964996577331"
"7042","41.63246","-0.15999","16","24","16","8.32","CR","2.95","12.1","19.9","15.5","3.06422545769386","0.306422545769386","4.6579050543164","0.46579050543164","3.78823483284419","0.46579050543164"
"7043","41.31031","-0.10682","13","33","4","8.02","E20","2.191","10.6","27.7","13.5","2.91356796803324","0.291356796803324","6.37407025257007","0.637407025257007","3.58718805667775","0.637407025257007"
"7044","42.07473","-0.28298","18","28","6","7.92","CR","4.9","10.5","15","12.8","2.88058440295721","0.288058440295721","3.91091679553881","0.391091679553881","3.41983977671204","0.391091679553881"
